X,Y,Z,gX,gY,gZ,
2.876953125,2.251953125,9.1484375,-0.977050781,-0.729492188,-1.069335938,0
3.0703125,2.16796875,9.21875,-0.875488281,-0.694335938,-1.15625,0
3.162109375,2.0546875,9.28125,-0.796875,-0.659179688,-1.26953125,0
3.197265625,1.895507813,9.140625,-0.78515625,-0.675292969,-1.405273438,0
3.11328125,1.814453125,9.0625,-0.889648438,-0.716796875,-1.520507813,0
3.142578125,1.9140625,9.1484375,-1.043945313,-0.812988281,-1.620117188,0
3.240234375,1.955078125,9.25,-1.293945313,-0.912109375,-1.747070313,0
3.263671875,1.936523438,9.21875,-1.6171875,-1.005859375,-1.845703125,0
3.154296875,1.891601563,9.1328125,-1.862304688,-1.104492188,-1.954101563,0
3.03515625,1.952148438,9.171875,-1.790039063,-1.348632813,-2.11328125,0
3.056640625,2.0546875,9.203125,-1.264648438,-1.861328125,-2.337890625,0
3.14453125,2.068359375,9.109375,-0.833984375,-2.064453125,-2.423828125,0
2.9921875,2.171875,9.1015625,-0.224731445,-1.827148438,-2.44921875,0
2.9453125,2.201171875,9.0625,0.522949219,-1.276367188,-2.50390625,0
3.12890625,2.015625,9.125,1.12890625,-0.712890625,-2.46875,0
3.16796875,1.940429688,9.2265625,1.392578125,-0.379150391,-2.30859375,0
3.115234375,1.962890625,9.1875,1.1640625,-0.369628906,-2.10546875,0
3.078125,1.962890625,9.1875,0.538085938,-0.641113281,-1.938476563,0
3.123046875,1.923828125,9.1328125,-0.217285156,-0.954589844,-1.780273438,0
3.130859375,1.908203125,9.1015625,-1.012695313,-1.172851563,-1.586914063,0
3.029296875,1.993164063,9.140625,-1.86328125,-1.314453125,-1.392578125,0
2.923828125,2.01953125,9.1484375,-2.5546875,-1.525390625,-1.247070313,0
2.943359375,2.10546875,9.1640625,-2.83984375,-1.947265625,-1.198242188,0
3.060546875,2.0234375,9.140625,-2.794921875,-2.408203125,-1.1796875,0
1.15625,-0.924316406,9.7578125,-2.29296875,-2.443359375,-1.28515625,0
1.271484375,-1.129882813,9.7578125,-1.51171875,-1.803710938,-1.439453125,0
1.334960938,-1.006835938,9.6953125,-0.583984375,-1.015625,-1.447265625,0
1.291992188,-0.866699219,9.703125,0.215209961,-0.405761719,-1.30078125,0
1.209960938,-0.824707031,9.734375,0.5859375,-0.075622559,-1.1015625,0
1.267578125,-0.958984375,9.8828125,0.543457031,-0.004261017,-0.932128906,0
1.250976563,-0.87890625,9.953125,-0.65625,-0.33984375,-0.975585938,0
1.20703125,-0.8046875,9.9375,-0.707519531,-0.350585938,-1.038085938,0
1.171875,-0.7734375,9.828125,-0.828613281,-0.427246094,-1.071289063,0
1.326171875,-0.682128906,9.671875,-0.891601563,-0.567871094,-1.091796875,0
1.31640625,-0.536132813,9.53125,-0.784179688,-0.783203125,-1.107421875,0
1.434570313,-0.516113281,9.46875,-0.407958984,-1.065429688,-1.149414063,0
1.443359375,-0.311279297,9.4609375,0.074584961,-1.208984375,-1.200195313,0
1.122070313,-0.161621094,9.4609375,0.508300781,-1.076171875,-1.176757813,0
1.037109375,-0.161621094,9.3984375,0.859863281,-0.802246094,-1.047851563,0
1.032226563,-0.015563965,9.2265625,1.006835938,-0.603027344,-0.794921875,0
